Hand,12d12,12d6,12d8,6d12,6d6,6d8,8d12,8d6,8d8
3 222 111,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 3 22 11111,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 22 11111,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 2222 1111,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 222 111111,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 3 22 11111,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222 1111,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33 2 1111,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 3 222 111,3.3,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 222 111111,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 22 1111,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33 22 11,2.46,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 2222 1111,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 222 111111,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 3 2 1111111,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 3 22 11111,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 3 2 1111111,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 33 2 1111,1.67,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0
4 3 2 111,1.64,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
22222 11,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 3 222 111,1.41,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0
7-Straight 222 111111,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 3 2 1111111,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 4 22 1111,1.22,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0
4 222 11,1.22,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0
3 2222 1,1.21,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 2222 1111,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222 111111,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 4 2 111111,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 2 111111,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-Straight 3 2 1111111,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-Straight 3 22 11111,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 22222 11,0.74,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 22 11111111,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-Straight 22 11111111,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 22 11111111,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 22 11111111,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 33 2 1111,0.7,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 33 111111,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 3 11111,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-Straight 222 111111,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33 111111,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 2 1111111,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 4 2 111111,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-Straight 22 11111111,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 4 22 1111,0.53,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0
4-Straight 33 22 11,0.49,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
5 22 111,0.49,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0
6-Straight 3 222 111,0.48,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0
7-Straight 2222 1111,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-Straight 33 111111,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 3 22 1,0.42,4.55,2.93,0.0,0.0,0.0,0.0,0.0,0.0
5 2 11111,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-Straight 3 2 1111111,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-Straight 22 11111111,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
