6-Straight 4 33 2 11111111,1095
9-Straight 2222 111111111111,1087
5-Straight 4 22 111111111111,1076
11-Straight 3 222 11111111111,1075
33 22 1111111111,1073
5 22222 11111,1071
7-Straight 333 2 111111111,1049
5 33 22 11111,1034
5-Straight 5 3 222 111111,1014
8-Straight 3 222222 11111,1002
5-Straight 4 222222 1111,1001
11-Straight 3 2222 111111111,962
4-Straight 5 22222 11111,946
10-Straight 222222 11111111,939
8-Straight 4 3 222 1111111,935
7-Straight 3 22 1111111111111,909
5-Straight 4 33 222 1111,900
11-Straight 22222 1111111111,887
10-Straight 2222 111111111111,884
44 22 11111111,883
6-Straight 4 22 111111111111,871
7-Straight 33 2 111111111111,861
10-Straight 3 22222 1111111,840
44 3 2 1111111,836
10-Straight 33 22 1111111111,833
9-Straight 4 222 1111111111,825
44 2222 1111,806
7-Straight 4 3 2 11111111111,793
6-Straight 5 222 111111111,783
5-Straight 44 22 11111111,774
4-Straight 5 3 2 1111111111,764
4-Straight 3333 22 1111,763
4-Straight 44 3 2 1111111,748
8-Straight 3 22 1111111111111,747
4 33 2222 11,723
5-Straight 44 222 111111,699
7-Straight 4 3 2222 11111,697
4-Straight 4 33 1111111111,680
11-Straight 2222 111111111111,679
4-Straight 33 222222 11,675
10-Straight 33 222 11111111,673
9-Straight 3 22 1111111111111,670
6-Straight 5 3 22 11111111,668
8-Straight 333 22 1111111,666
6-Straight 5 2222 1111111,666
7-Straight 33 22222 1111,664
7-Straight 4 22 111111111111,657
4-Straight 5 22 11111111111,653
5 33 2 1111111,651
9-Straight 4 2222 11111111,640
8-Straight 33 2 111111111111,632
4-Straight 5 3 2222 1111,622
4-Straight 44 3 22 11111,612
7-Straight 333 222 11111,611
4-Straight 4 333 2 11111,611
4 333 22 111,610
6-Straight 22222222 1111,609
5-Straight 333 2222 111,604
4-Straight 5 33 2 1111111,585
7-Straight 4 33 2 11111111,576
9-Straight 33 2222 111111,565
12-Straight 3 222 11111111111,547
5 222 111111111,546
9-Straight 4 3 22 111111111,545
5-Straight 4 3 22222 111,543
5-Straight 3333 2 111111,540
4 222 1111111111,530
8-Straight 4 3 2 11111111111,520
8-Straight 333 2 111111111,518
4-Straight 5 33 22 11111,515
9-Straight 2222222 111111,503
5-Straight 5 3 2 1111111111,503
5 4 22 1111111,498
5 4 222 11111,487
6-Straight 3 2222222 111,487
9-Straight 33 2 111111111111,483
8-Straight 4 22 111111111111,483
10-Straight 3 22 1111111111111,474
4-Straight 5 4 22 1111111,473
4-Straight 44 2 1111111111,468
10-Straight 4 222 1111111111,468
7-Straight 4 33 22 111111,461
5-Straight 5 22 11111111111,459
5-Straight 5 22222 11111,457
44 3 222 111,457
6-Straight 4 222222 1111,445
12-Straight 22222 1111111111,444
8-Straight 4 22222 111111,444
6-Straight 5 3 222 111111,439
4-Straight 333 11111111111,436
5-Straight 4 33 1111111111,427
4-Straight 3333 11111111,425
7-Straight 5 222 111111111,422
4-Straight 44 2222 1111,417
6-Straight 44 22 11111111,410
11-Straight 3 22 1111111111111,407
11-Straight 222222 11111111,406
12-Straight 2222 111111111111,398
5 33 222 111,396
12-Straight 3 2222 111111111,390
9-Straight 3 222222 11111,386
11-Straight 33 22 1111111111,382
5-Straight 44 3 2 1111111,371
4-Straight 6 222 11111111,367
6-Straight 5 3 2 1111111111,352
6 3 222 11111,352
5 4 3 2 111111,351
4 333 1111111,349
4-Straight 222 11111111111111,344
9-Straight 4 3 222 1111111,342
4-Straight 4 333 1111111,341
3333 222 11,341
6-Straight 4 33 222 1111,338
7-Straight 5 2222 1111111,338
5-Straight 44 2 1111111111,337
9-Straight 4 22 111111111111,336
5-Straight 333 11111111111,330
7-Straight 22222222 1111,327
4-Straight 6 3 22 1111111,324
6-Straight 5 22 11111111111,322
6 3 22 1111111,318
5-Straight 33 222222 11,316
10-Straight 33 2 111111111111,311
7-Straight 5 3 22 11111111,310
6-Straight 222 11111111111111,298
5-Straight 3333 22 1111,296
5-Straight 5 33 2 1111111,294
4 2222222 11,293
6 2222 111111,292
6-Straight 44 222 111111,290
12-Straight 3 22 1111111111111,286
5-Straight 222 11111111111111,285
4-Straight 5 4 222 11111,282
9-Straight 4 3 2 11111111111,273
6-Straight 333 11111111111,272
5-Straight 44 3 22 11111,271
13-Straight 2222 111111111111,269
5 4 3 22 1111,266
4-Straight 6 2222 111111,265
5-Straight 5 3 2222 1111,261
11-Straight 3 22222 1111111,260
10-Straight 4 2222 11111111,255
6-Straight 3333 2 111111,253
5 222222 111,252
8-Straight 5 222 111111111,251
5-Straight 3333 11111111,248
5-Straight 4 333 2 11111,247
10-Straight 4 3 22 111111111,242
8-Straight 4 3 2222 11111,241
3333 11111111,239
6-Straight 333 2222 111,238
7-Straight 222 11111111111111,238
9-Straight 333 2 111111111,234
4-Straight 4 33 2222 11,231
5-Straight 5 4 22 1111111,231
13-Straight 3 222 11111111111,230
6 222 11111111,230
11-Straight 33 222 11111111,229
5-Straight 6 222 11111111,229
6-Straight 4 33 1111111111,228
44 33 2 1111,228
5 3 2 1111111111,224
8-Straight 33 22222 1111,223
10-Straight 4 22 111111111111,222
9-Straight 333 22 1111111,221
5-Straight 5 33 22 11111,221
4-Straight 5 4 2 111111111,219
7-Straight 5 22 11111111111,219
7-Straight 44 22 11111111,218
4-Straight 44 3 111111111,215
8-Straight 4 33 2 11111111,213
10-Straight 2222222 111111,210
6-Straight 5 22222 11111,209
4 33 1111111111,209
8-Straight 222 11111111111111,207
13-Straight 22222 1111111111,204
7-Straight 3 2222222 111,203
8-Straight 333 222 11111,199
11-Straight 4 222 1111111111,198
7-Straight 5 3 2 1111111111,197
7-Straight 333 11111111111,195
333 22222 1,194
4-Straight 6 22 1111111111,193
4-Straight 4 333 22 111,191
11-Straight 33 2 111111111111,186
7-Straight 5 3 222 111111,185
5 3 22222 11,185
9-Straight 222 11111111111111,182
4-Straight 5 4 3 2 111111,181
6-Straight 44 2 1111111111,180
10-Straight 33 2222 111111,179
222222222 11,179
4 3 2 11111111111,177
5 4 2 111111111,177
5-Straight 4 333 1111111,176
6-Straight 4 3 22222 111,173
10-Straight 222 11111111111111,173
4-Straight 5 33 111111111,171
12-Straight 222222 11111111,169
4-Straight 6 3 222 11111,169
13-Straight 3 22 1111111111111,167
4 3 222222 1,166
9-Straight 4 22222 111111,165
6-Straight 44 3 2 1111111,164
5-Straight 44 2222 1111,163
4-Straight 44 3 222 111,163
4-Straight 6 3 2 111111111,162
7-Straight 4 222222 1111,162
8-Straight 5 2222 1111111,160
7-Straight 4 33 1111111111,160
8-Straight 4 33 22 111111,156
5-Straight 6 22 1111111111,151
4-Straight 4 3 1111111111111,149
5-Straight 6 3 22 1111111,149
11-Straight 222 11111111111111,149
10-Straight 4 3 2 11111111111,144
8-Straight 5 22 11111111111,144
3 222 11111111111,143
4-Straight 4 2222222 11,143
44 33 111111,140
5-Straight 5 4 2 111111111,138
12-Straight 33 22 1111111111,137
6-Straight 3333 11111111,136
5 4 2222 111,136
8-Straight 5 3 22 11111111,135
11-Straight 4 22 111111111111,134
5-Straight 6 2222 111111,134
14-Straight 2222 111111111111,134
3 22222222 1,133
44 2 1111111111,132
22222 1111111111,129
9-Straight 5 222 111111111,128
4-Straight 5 222222 111,123
8-Straight 22222222 1111,121
5 333 2 1111,121
4-Straight 222222222 11,120
7-Straight 44 2 1111111111,117
6-Straight 5 33 2 1111111,116
44 3 111111111,116
5-Straight 4 2 11111111111111,116
8-Straight 333 11111111111,116
5-Straight 44 3 111111111,116
6 3 2 111111111,115
4-Straight 5 33 222 111,115
12-Straight 222 11111111111111,115
6-Straight 3333 22 1111,113
6 33 2 111111,113
7-Straight 4 33 222 1111,113
13-Straight 222 11111111111111,112
6-Straight 6 222 11111111,111
4-Straight 4 2 11111111111111,110
6 22222 1111,109
8-Straight 44 22 11111111,106
7-Straight 3333 2 111111,105
5-Straight 4 3 1111111111111,103
44 22222 11,103
6 33 22 1111,103
10-Straight 333 2 111111111,102
10-Straight 3 222222 11111,101
6 3 2222 111,101
4-Straight 3333 222 11,101
8-Straight 4 33 1111111111,100
5-Straight 5 4 222 11111,99
6-Straight 5 4 22 1111111,98
6-Straight 33 222222 11,98
7-Straight 44 222 111111,97
6-Straight 4 333 2 11111,97
9-Straight 5 22 11111111111,97
8-Straight 5 3 2 1111111111,95
5 33 111111111,95
13-Straight 3 2222 111111111,95
33333 2 111,95
6-Straight 5 3 2222 1111,94
14-Straight 3 22 1111111111111,94
6-Straight 4 3 1111111111111,94
6-Straight 44 3 22 11111,94
4-Straight 3 2 111111111111111,94
5-Straight 6 3 2 111111111,93
4-Straight 5 4 3 22 1111,93
9-Straight 4 33 2 11111111,92
12-Straight 33 2 111111111111,91
5 4 3 11111111,89
10-Straight 4 3 222 1111111,86
4-Straight 33 11111111111111,85
6-Straight 4 333 1111111,84
14-Straight 222 11111111111111,84
7-Straight 333 2222 111,82
6-Straight 5 33 22 11111,81
14-Straight 3 222 11111111111,80
5-Straight 33 11111111111111,78
4-Straight 5 4 3 11111111,78
5-Straight 4 33 2222 11,78
7-Straight 5 22222 11111,78
6 4 22 111111,77
44 33 22 11,76
4-Straight 44 33 2 1111,76
